state,election_year,dem_vote_share
Alabama,2012,0.382
Alabama,2016,0.342
Alabama,2020,0.366
Alabama,2024,0.34
Alaska,2012,0.413
Alaska,2016,0.378
Alaska,2020,0.43
Alaska,2024,0.408
Arizona,2012,0.446
Arizona,2016,0.451
Arizona,2020,0.496
Arizona,2024,0.477
Arkansas,2012,0.366
Arkansas,2016,0.336
Arkansas,2020,0.35
Arkansas,2024,0.335
California,2012,0.601
California,2016,0.617
California,2020,0.635
California,2024,0.601
Colorado,2012,0.515
Colorado,2016,0.481
Colorado,2020,0.554
Colorado,2024,0.54
Connecticut,2012,0.581
Connecticut,2016,0.545
Connecticut,2020,0.594
Connecticut,2024,0.567
Delaware,2012,0.587
Delaware,2016,0.531
Delaware,2020,0.586
Delaware,2024,0.566
Florida,2012,0.5
Florida,2016,0.478
Florida,2020,0.48
Florida,2024,0.432
Georgia,2012,0.451
Georgia,2016,0.455
Georgia,2020,0.496
Georgia,2024,0.481
Hawaii,2012,0.714
Hawaii,2016,0.621
Hawaii,2020,0.639
Hawaii,2024,0.604
Idaho,2012,0.323
Idaho,2016,0.276
Idaho,2020,0.33
Idaho,2024,0.296
Illinois,2012,0.577
Illinois,2016,0.554
Illinois,2020,0.577
Illinois,2024,0.556
Indiana,2012,0.441
Indiana,2016,0.379
Indiana,2020,0.41
Indiana,2024,0.393
Iowa,2012,0.521
Iowa,2016,0.419
Iowa,2020,0.449
Iowa,2024,0.42
Kansas,2012,0.381
Kansas,2016,0.36
Kansas,2020,0.415
Kansas,2024,0.396
Kentucky,2012,0.378
Kentucky,2016,0.327
Kentucky,2020,0.363
Kentucky,2024,0.345
Louisiana,2012,0.407
Louisiana,2016,0.384
Louisiana,2020,0.394
Louisiana,2024,0.38
Maine,2012,0.565
Maine,2016,0.477
Maine,2020,0.531
Maine,2024,0.51
Maryland,2012,0.618
Maryland,2016,0.6
Maryland,2020,0.654
Maryland,2024,0.631
Massachusetts,2012,0.608
Massachusetts,2016,0.6
Massachusetts,2020,0.656
Massachusetts,2024,0.628
Michigan,2012,0.543
Michigan,2016,0.472
Michigan,2020,0.507
Michigan,2024,0.491
Minnesota,2012,0.526
Minnesota,2016,0.465
Minnesota,2020,0.524
Minnesota,2024,0.51
Mississippi,2012,0.436
Mississippi,2016,0.406
Mississippi,2020,0.413
Mississippi,2024,0.392
Missouri,2012,0.441
Missouri,2016,0.383
Missouri,2020,0.413
Missouri,2024,0.39
Montana,2012,0.418
Montana,2016,0.358
Montana,2020,0.4
Montana,2024,0.382
Nebraska,2012,0.382
Nebraska,2016,0.338
Nebraska,2020,0.394
Nebraska,2024,0.375
Nevada,2012,0.524
Nevada,2016,0.476
Nevada,2020,0.503
Nevada,2024,0.486
New Hampshire,2012,0.521
New Hampshire,2016,0.479
New Hampshire,2020,0.527
New Hampshire,2024,0.511
New Jersey,2012,0.581
New Jersey,2016,0.55
New Jersey,2020,0.573
New Jersey,2024,0.547
New Mexico,2012,0.53
New Mexico,2016,0.482
New Mexico,2020,0.543
New Mexico,2024,0.517
New York,2012,0.634
New York,2016,0.589
New York,2020,0.608
New York,2024,0.567
North Carolina,2012,0.481
North Carolina,2016,0.464
North Carolina,2020,0.487
North Carolina,2024,0.476
North Dakota,2012,0.386
North Dakota,2016,0.271
North Dakota,2020,0.316
North Dakota,2024,0.312
Ohio,2012,0.507
Ohio,2016,0.436
Ohio,2020,0.454
Ohio,2024,0.44
Oklahoma,2012,0.334
Oklahoma,2016,0.289
Oklahoma,2020,0.327
Oklahoma,2024,0.311
Oregon,2012,0.542
Oregon,2016,0.5
Oregon,2020,0.565
Oregon,2024,0.556
Pennsylvania,2012,0.521
Pennsylvania,2016,0.476
Pennsylvania,2020,0.501
Pennsylvania,2024,0.488
Rhode Island,2012,0.629
Rhode Island,2016,0.544
Rhode Island,2020,0.594
Rhode Island,2024,0.579
South Carolina,2012,0.441
South Carolina,2016,0.404
South Carolina,2020,0.432
South Carolina,2024,0.414
South Dakota,2012,0.399
South Dakota,2016,0.318
South Dakota,2020,0.358
South Dakota,2024,0.341
Tennessee,2012,0.392
Tennessee,2016,0.345
Tennessee,2020,0.373
Tennessee,2024,0.355
Texas,2012,0.417
Texas,2016,0.432
Texas,2020,0.466
Texas,2024,0.444
Utah,2012,0.249
Utah,2016,0.274
Utah,2020,0.375
Utah,2024,0.39
Vermont,2012,0.668
Vermont,2016,0.561
Vermont,2020,0.66
Vermont,2024,0.643
Virginia,2012,0.513
Virginia,2016,0.495
Virginia,2020,0.543
Virginia,2024,0.528
Washington,2012,0.566
Washington,2016,0.543
Washington,2020,0.577
Washington,2024,0.559
West Virginia,2012,0.357
West Virginia,2016,0.264
West Virginia,2020,0.297
West Virginia,2024,0.282
Wisconsin,2012,0.529
Wisconsin,2016,0.466
Wisconsin,2020,0.496
Wisconsin,2024,0.484
Wyoming,2012,0.279
Wyoming,2016,0.221
Wyoming,2020,0.268
Wyoming,2024,0.258
