state,year,eligible_pop
Alabama,2014,1318785
Alabama,2015,1254964
Alabama,2016,1188895
Alabama,2017,1182609
Alabama,2018,1174119
Alabama,2019,1107227
Alabama,2020,1127948
Alabama,2021,1168598
Alabama,2022,1142255
Alabama,2023,1116599
Alaska,2014,123258
Alaska,2015,117117
Alaska,2016,109473
Alaska,2017,119467
Alaska,2018,114607
Alaska,2019,112966
Alaska,2020,112665
Alaska,2021,110450
Alaska,2022,114260
Alaska,2023,112964
Arizona,2014,1733897
Arizona,2015,1679141
Arizona,2016,1624192
Arizona,2017,1533004
Arizona,2018,1492698
Arizona,2019,1417577
Arizona,2020,1478780
Arizona,2021,1355302
Arizona,2022,1349087
Arizona,2023,1335072
Arkansas,2014,816895
Arkansas,2015,818275
Arkansas,2016,770293
Arkansas,2017,737561
Arkansas,2018,761746
Arkansas,2019,729984
Arkansas,2020,719985
Arkansas,2021,721845
Arkansas,2022,742219
Arkansas,2023,706692
California,2014,9251814
California,2015,8790787
California,2016,8323447
California,2017,7809502
California,2018,7534254
California,2019,6902414
California,2020,7334023
California,2021,7001151
California,2022,6923583
California,2023,6705321
Colorado,2014,969141
Colorado,2015,923027
Colorado,2016,922870
Colorado,2017,859155
Colorado,2018,820836
Colorado,2019,793926
Colorado,2020,830470
Colorado,2021,813360
Colorado,2022,796517
Colorado,2023,778281
Connecticut,2014,542822
Connecticut,2015,536530
Connecticut,2016,505085
Connecticut,2017,499961
Connecticut,2018,530145
Connecticut,2019,513049
Connecticut,2020,500846
Connecticut,2021,504139
Connecticut,2022,508699
Connecticut,2023,520053
Delaware,2014,162056
Delaware,2015,169006
Delaware,2016,155141
Delaware,2017,183631
Delaware,2018,165961
Delaware,2019,152108
Delaware,2020,155757
Delaware,2021,164945
Delaware,2022,142125
Delaware,2023,147229
Florida,2014,4851517
Florida,2015,4757511
Florida,2016,4623154
Florida,2017,4480942
Florida,2018,4384883
Florida,2019,4131114
Florida,2020,4291492
Florida,2021,4244292
Florida,2022,4178321
Florida,2023,4070991
Georgia,2014,2567329
Georgia,2015,2473738
Georgia,2016,2349971
Georgia,2017,2294105
Georgia,2018,2209726
Georgia,2019,2074777
Georgia,2020,2192483
Georgia,2021,2142496
Georgia,2022,2033347
Georgia,2023,2123949
Hawaii,2014,232573
Hawaii,2015,206963
Hawaii,2016,196316
Hawaii,2017,187636
Hawaii,2018,185180
Hawaii,2019,180598
Hawaii,2020,187289
Hawaii,2021,216313
Hawaii,2022,211743
Hawaii,2023,203721
Idaho,2014,389777
Idaho,2015,371424
Idaho,2016,365007
Idaho,2017,344881
Idaho,2018,341618
Idaho,2019,320870
Idaho,2020,329170
Idaho,2021,327751
Idaho,2022,329370
Idaho,2023,307164
Illinois,2014,2658385
Illinois,2015,2523846
Illinois,2016,2404200
Illinois,2017,2341072
Illinois,2018,2253479
Illinois,2019,2103032
Illinois,2020,2196648
