state,expanded,expansion_date
Alabama,0,
Alaska,1,2015-09-01
Arizona,1,2014-01-01
Arkansas,1,2014-01-01
California,1,2014-01-01
Colorado,1,2014-01-01
Connecticut,1,2014-01-01
Delaware,1,2014-01-01
Florida,0,
Georgia,0,
Hawaii,1,2014-01-01
Idaho,1,2020-01-01
Illinois,1,2014-01-01
Indiana,1,2015-02-01
Iowa,1,2014-01-01
Kansas,0,
Kentucky,1,2014-01-01
Louisiana,1,2016-07-01
Maine,1,2019-01-01
Maryland,1,2014-01-01
Massachusetts,1,2014-01-01
Michigan,1,2014-04-01
Minnesota,1,2014-01-01
Mississippi,0,
Missouri,1,2021-07-01
Montana,1,2016-01-01
Nebraska,1,2020-10-01
Nevada,1,2014-01-01
New Hampshire,1,2014-08-15
New Jersey,1,2014-01-01
New Mexico,1,2014-01-01
New York,1,2014-01-01
North Carolina,1,2023-12-01
North Dakota,1,2014-01-01
Ohio,1,2014-01-01
Oklahoma,1,2021-07-01
Oregon,1,2014-01-01
Pennsylvania,1,2015-01-01
Rhode Island,1,2014-01-01
South Carolina,0,
South Dakota,1,2023-07-01
Tennessee,0,
Texas,0,
Utah,1,2020-01-01
Vermont,1,2014-01-01
Virginia,1,2019-01-01
Washington,1,2014-01-01
West Virginia,1,2014-01-01
Wisconsin,0,
Wyoming,0,
