state,month,enroll,year,eligible_pop,takeup,elig2018,takeup_static,ncsl_year,dem_house_seats,total_house_seats,dem_share_house,dem_senate_seats,total_senate_seats,dem_share_sen,dem_margin,dem_control,sen_margin,gov_dem,mood,expanded,expansion_date,post_expansion,covid,year_f,restrictive_waiver
Alabama,2015-01-01,843250.0,2015,1254964.0,67.19316251302826,1174119,71.81980702126445,2015,33.0,105.0,0.3142857142857143,8.0,35.0,0.22857142857142856,-0.18571428571428572,0.0,-0.27142857142857146,0.0,0.36033333333333334,0,,0.0,0.0,2015,0.0
Alaska,2015-01-01,125747.0,2015,117117.0,107.36869967639197,114607,109.7201741603916,2015,16.0,40.0,0.4,6.0,20.0,0.3,-0.09999999999999998,0.0,-0.2,0.0,0.3940416666666667,1,2015-09-01,0.0,0.0,2015,0.0
Arizona,2015-01-01,1482316.0,2015,1679141.0,88.27823273923988,1492698,99.30448087958851,2015,24.0,60.0,0.4,13.0,30.0,0.43333333333333335,-0.09999999999999998,0.0,-0.06666666666666665,0.0,0.4487083333333333,1,2014-01-01,1.0,0.0,2015,0.0
Arkansas,2015-01-01,824529.0,2015,818275.0,100.76429073355536,761746,108.24198617386898,2015,36.0,100.0,0.36,11.0,35.0,0.3142857142857143,-0.14,0.0,-0.18571428571428572,0.0,0.34975,1,2014-01-01,1.0,0.0,2015,0.0
California,2015-01-01,12170138.0,2015,8790787.0,138.4419620222854,7534254,161.53076336422956,2015,52.0,80.0,0.65,25.0,40.0,0.625,0.15000000000000002,1.0,0.125,1.0,0.6096666666666667,1,2014-01-01,1.0,0.0,2015,0.0
Colorado,2015-01-01,1197542.0,2015,923027.0,129.74073347800228,820836,145.89296765736395,2015,34.0,65.0,0.5230769230769231,17.0,35.0,0.4857142857142857,0.023076923076923106,1.0,-0.01428571428571429,1.0,0.4965833333333333,1,2014-01-01,1.0,0.0,2015,0.0
Connecticut,2015-01-01,733590.0,2015,536530.0,136.72860790636125,530145,138.375350140056,2015,86.0,151.0,0.5695364238410596,20.0,36.0,0.5555555555555556,0.06953642384105962,1.0,0.05555555555555558,1.0,0.5615,1,2014-01-01,1.0,0.0,2015,0.0
Delaware,2015-01-01,235775.0,2015,169006.0,139.50688141249424,165961,142.0665096016534,2015,25.0,41.0,0.6097560975609756,12.0,21.0,0.5714285714285714,0.1097560975609756,1.0,0.0714285714285714,1.0,0.5566666666666666,1,2014-01-01,1.0,0.0,2015,0.0
Florida,2015-01-01,3404156.0,2015,4757511.0,71.55329751208143,4384883,77.63390722169781,2015,38.0,120.0,0.31666666666666665,14.0,40.0,0.35,-0.18333333333333335,0.0,-0.15000000000000002,0.0,0.4880833333333333,0,,0.0,0.0,2015,0.0
Georgia,2015-01-01,1765025.0,2015,2473738.0,71.35052297373448,2209726,79.87528770535351,2015,59.0,180.0,0.3277777777777778,18.0,56.0,0.32142857142857145,-0.17222222222222222,0.0,-0.17857142857142855,0.0,0.45316666666666666,0,,0.0,0.0,2015,0.0
Hawaii,2015-01-01,314805.0,2015,206963.0,152.1068983344849,185180,169.99945998487956,2015,44.0,51.0,0.8627450980392157,24.0,25.0,0.96,0.36274509803921573,1.0,0.45999999999999996,1.0,0.663625,1,2014-01-01,1.0,0.0,2015,0.0
Idaho,2015-01-01,273329.0,2015,371424.0,73.58948263978634,341618,80.01012827192947,2015,14.0,70.0,0.2,7.0,35.0,0.2,-0.3,0.0,-0.3,0.0,0.2975416666666667,1,2020-01-01,0.0,0.0,2015,0.0
Illinois,2015-01-01,3151683.0,2015,2523846.0,124.87620084585194,2253479,139.8585476057243,2015,71.0,118.0,0.6016949152542372,39.0,59.0,0.6610169491525424,0.10169491525423724,1.0,0.1610169491525424,0.0,0.5645416666666667,1,2014-01-01,1.0,0.0,2015,0.0
