state,year,restrictive_waiver
Indiana,2015,1
Indiana,2016,1
Indiana,2017,1
Indiana,2018,1
Indiana,2019,1
Indiana,2020,1
Indiana,2021,1
Indiana,2022,1
Indiana,2023,1
Indiana,2024,1
Indiana,2025,1
Indiana,2026,1
Arizona,2018,1
Arizona,2019,1
Arizona,2020,1
Arkansas,2018,1
Arkansas,2019,1
Arkansas,2020,1
Kentucky,2018,1
Kentucky,2019,1
Kentucky,2020,1
Michigan,2018,1
Michigan,2019,1
Michigan,2020,1
Nebraska,2018,1
Nebraska,2019,1
Nebraska,2020,1
South Carolina,2018,1
South Carolina,2019,1
South Carolina,2020,1
Maine,2019,1
Maine,2020,1
New Hampshire,2019,1
New Hampshire,2020,1
Ohio,2019,1
Ohio,2020,1
Utah,2019,1
Utah,2020,1
Wisconsin,2019,1
Wisconsin,2020,1
Georgia,2023,1
Georgia,2024,1
Georgia,2025,1
Georgia,2026,1
